,Brand,Model,year,Owners,Transmission,Variant,Mileage,Fuel,Price
55,Maruti Suzuki,Grand Vitara,2017,1st,Manual,Grand Vitara Brezza LDI (Opt.),46000.0 km,Diesel,"₹ 6,95,000"
56,BMW,X1,2019,1st,Automatic,sDrive20i xLine,19000.0 km,Petrol,"₹ 32,45,000"
57,Mahindra,XUV300,2019,1st,Manual,,19000.0 km,Diesel,"₹ 10,20,000"
58,Volkswagen,Ameo,2016,2nd,Manual,1.2 MPI Comfortline,86000.0 km,Petrol,"₹ 4,25,000"
59,Toyota,Innova,2015,1st,Manual,2.5 G (Diesel) 8 Seater BS-IV,48000.0 km,Diesel,"₹ 9,90,000"
60,Hyundai,i20,2017,1st,Manual,Others,39371.0 km,Petrol,"₹ 6,60,000"
61,Tata,Sumo Gold,2012,1st,Manual,EX BS IV,65000.0 km,Diesel,"₹ 2,65,000"
62,Honda,CR-V,2013,,Automatic,2.4L 4WD AVN,47759.0 km,Petrol,"₹ 8,50,000"
63,Hyundai,i10,2012,1st,Manual,Sportz 1.2 Kappa2,81000.0 km,Petrol,"₹ 1,99,000"
64,Maruti Suzuki,Ertiga,2015,1st,Manual,ZDI,85000.0 km,Diesel,"₹ 6,00,000"
65,Honda,Jazz,2015,1st,Manual,VX Diesel,68000.0 km,Diesel,"₹ 5,75,000"
66,Toyota,Innova,2015,1st,Manual,2.5 GX (Diesel) 8 Seater,55000.0 km,Diesel,"₹ 9,35,000"
67,Renault,Duster,2013,2nd,Manual,110PS Diesel RxZ,72000.0 km,Diesel,"₹ 4,50,000"
68,Mahindra,XUV500,2012,1st,Manual,W8 2WD,54000.0 km,Diesel,"₹ 5,35,000"
69,Maruti Suzuki,A-Star,2011,1st,Manual,Vxi,50000.0 km,Petrol,"₹ 1,90,000"
70,Hyundai,Xcent,2014,1st,Manual,1.2 VTVT S,19000.0 km,Petrol,"₹ 4,55,000"
71,Maruti Suzuki,Baleno,2019,1st,Manual,1.2 Zeta,17000.0 km,Petrol,"₹ 7,20,000"
72,Honda,WR-V,2017,1st,Manual,i-VTEC VX,32000.0 km,Petrol,"₹ 7,49,999"
73,Hyundai,Creta,2018,2nd,Manual,1.4 E Plus Diesel,72000.0 km,Diesel,"₹ 8,50,000"
74, , , ,, ,, , , 
75,BMW,3 Series,2011,1st,Automatic,320d Sport,78001.0 km,Diesel,"₹ 8,48,000"
76,Hyundai,Santro,2007,2nd,Manual,GLS I - Euro I,"58,000 km",Petrol,"₹ 1,55,000"
77,Hyundai,Fluidic Verna,2020,1st,Automatic,1.6 CRDi SX Automatic,"8,200 km",Diesel,"₹ 13,95,000"
78,Toyota,Innova Crysta,2018,1st,Automatic,2.8 ZX AT,61000.0 km,Diesel,"₹ 21,45,000"
79,Honda,Brio,2014,1st,Manual,1.2 S MT,59000.0 km,Petrol,"₹ 3,25,000"
80,Hyundai,Grand I 10,2008,3rd,Manual,Others,62828.0 km,Petrol,"₹ 2,25,000"
81,Honda,Amaze,2018,2nd,Manual,1.2 EMT I VTEC,33700.0 km,Petrol,"₹ 5,80,000"
82,Maruti Suzuki,Swift Dzire,2013,2nd,Manual,VDI,71000.0 km,Diesel,"₹ 3,80,000"
83,Maruti Suzuki,Wagon R,2008,1st,Manual,LXI,70000.0 km,CNG & Hybrids,"₹ 1,51,000"
84,Ford,Ecosport,2015,1st,Manual,1.5 Diesel Titanium,78000.0 km,Diesel,"₹ 5,90,000"
85,Skoda,Rapid,2017,1st,Manual,Ambition 1.6 MPFI Manual,33000.0 km,Petrol,"₹ 5,90,000"
86,Maruti Suzuki,Swift,2016,1st,Manual,,82.0 km,Diesel,"₹ 5,00,000"
87,Hyundai,i20,2014,1st,Manual,e i20 2014-2015 Magna 1.4 CRDi,61000.0 km,Diesel,"₹ 3,85,000"
88,Mahindra,Scorpio,2017,1st,Manual,Intelli Hybrid S4 Plus,39000.0 km,Diesel,"₹ 10,50,000"
89,Honda,Civic,2007,1st,Manual,1.8 S MT,78000.0 km,Petrol,"₹ 1,48,500"
90,Maruti Suzuki,Wagon R,2006,2nd,Manual,LXI,89000.0 km,Petrol,"₹ 1,05,000"
91,Maruti Suzuki,Wagon R 1.0,2018,1st,Manual,Wagon R 1.0 LXi CNG,69016.0 km,CNG & Hybrids,"₹ 4,75,000"
92,Maruti Suzuki,Wagon R,2009,1st,Manual,2006-2010 LXI Minor,50000.0 km,Petrol,"₹ 1,50,000"
93,Hyundai,Creta,2017,1st,Manual,1.4 CRDi S Plus,76800.0 km,Diesel,"₹ 9,79,000"
94,Maruti Suzuki,Wagon R 1.0,2017,1st,Manual,Wagon R 1.0 LXi CNG,47000.0 km,CNG & Hybrids,"₹ 4,45,000"
95,Maruti Suzuki,Swift Dzire,2011,1st,Manual,Vdi BSIV,62346.0 km,Diesel,"₹ 3,60,000"
96,Maruti Suzuki,Baleno,2019,1st,Manual,1.2 Zeta,170000.0 km,Petrol,"₹ 7,20,000"
97,Toyota,Fortuner,2012,2nd,Automatic,2011-2016 4x2 AT,155000.0 km,Diesel,"₹ 12,50,000"
98,Nissan,Terrano,2015,2nd,Manual,2013-2017 XL 110 PS,75000.0 km,Diesel,"₹ 4,00,000"
99,Renault,KWID,2016,2nd,Manual,RXL,30000.0 km,Petrol,"₹ 2,25,000"
100,Mahindra,XUV500,2012,2nd,Manual,W8 2WD,"76,484 km",Diesel,"₹ 7,00,000"
101,Maruti Suzuki,Swift,2015,1st,Manual,VXI,46500.0 km,Petrol,"₹ 5,50,000"
102,Hyundai,Grand i10,2019,1st,Manual,1.2 Kappa Sportz,25000.0 km,CNG & Hybrids,"₹ 5,75,000"
103,Mahindra,Rexton,2015,1st,Automatic,Rexton,81000.0 km,Diesel,"₹ 8,90,000"
104,Hyundai,i20,2013,2nd,Manual,1.2 Asta Option,44000.0 km,Petrol,"₹ 3,80,000"
105,Maruti Suzuki,Swift,2014,1st,Manual,VDI BS IV,21000.0 km,Diesel,"₹ 4,25,000"
106,Maruti Suzuki,Swift,2012,2nd,Manual,VXI,60000.0 km,Petrol,"₹ 3,50,000"
107,Toyota,Land Cruiser,2019,1st,Automatic,VX,13000.0 km,Diesel,"₹ 1,65,00,000"
108,Hyundai,Elite i20,2009,2nd,Manual,Asta 1.2 (O),77000.0 km,Petrol,"₹ 2,10,000"
109,Bentley,Continental Flying Spur,2011,1st,Automatic,Flying Spur W12,30000.0 km,Petrol,"₹ 85,00,000"
110,Mahindra,Logan,2008,3rd,Manual,Petrol 1.4 GLX,"90,000 km",Petrol,"₹ 1,60,000"
111,Mahindra,Xylo,2012,4th,Manual,2012-2014 D4 BSIV,114000.0 km,Diesel,"₹ 2,45,000"
112,Maruti Suzuki,Baleno,2019,1st,Manual,1.2 Zeta,17000.0 km,Petrol,"₹ 7,20,000"
113,Maruti Suzuki,Baleno,2019,1st,Manual,1.2 Zeta,17000.0 km,Petrol,"₹ 7,20,000"
114,Hyundai,Creta,2018,2nd,Manual,1.4 E Plus Diesel,72000.0 km,Diesel,"₹ 8,50,000"
