,Brand,Model,year,Owners,Transmission,Variant,Mileage,Fuel,Price
238,Ford,Ecosport,2017,1st,Manual,1.5 Petrol Titanium,42000.0 km,Petrol,"₹ 7,45,000"
239,Skoda,Rapid,2014,2nd,Manual,1.5 TDI Active,66000.0 km,Diesel,"₹ 4,75,000"
240,Mahindra,Scorpio,2015,1st,Manual,2009-2014 VLX 4WD BSIV,130000.0 km,Diesel,"₹ 8,80,000"
241,Mahindra,Others,2012,,Manual,Others,22000.0 km,Diesel,"₹ 6,90,000"
242,Honda,City,2016,1st,Manual,2015-2017 i VTEC VX Option,48000.0 km,Petrol,"₹ 6,95,000"
243,Maruti Suzuki,Wagon R,2009,2nd,Manual,VXI Opt,68000.0 km,CNG & Hybrids,"₹ 2,00,000"
244,Mahindra,Scorpio,2012,3rd,Manual,2009-2014 M2DI,135000.0 km,Diesel,"₹ 4,20,000"
245,Maruti Suzuki,Celerio,2016,1st,Automatic,ZXI Optional AMT,50000.0 km,Petrol,"₹ 4,50,000"
246,Honda,Civic,2009,2nd,Manual,1.8 S MT,73500.0 km,Petrol,"₹ 1,79,500"
247,Toyota,Innova,2012,2nd,Manual,2.5 VX 8-STR,78000.0 km,Diesel,"₹ 6,00,000"
248,Toyota,Innova,2011,1st,Manual,2.5 GX 8 STR-BS-III,86000.0 km,Diesel,"₹ 6,90,000"
249,Maruti Suzuki,Wagon R Stingray,2013,2nd,Manual,VXI Optional,35800.0 km,Petrol,"₹ 3,59,999"
250,Maruti Suzuki,Vitara Brezza,2017,1st,Manual,VDi,27500.0 km,Diesel,"₹ 7,75,000"
251,Hyundai,i10,2008,2nd,Manual,Magna 1.2 iTech SE,90000.0 km,Petrol,"₹ 1,80,000"
252,Hyundai,i20,2014,1st,Manual,2010-2012 1.2 Sportz Option,27000.0 km,Petrol,"₹ 5,15,000"
253,Maruti Suzuki,Swift,2011,1st,Manual,LXI,65000.0 km,Petrol,"₹ 2,90,000"
254,Hyundai,i10,2010,2nd,Manual,Era,54000.0 km,Petrol,"₹ 1,90,000"
255,Nissan,Micra,2012,1st,Manual,,39000.0 km,Petrol,"₹ 2,65,000"
256,Hyundai,i20,2010,2nd,Automatic,2010-2012 1.4 Asta AT with AVN,33000.0 km,Petrol,"₹ 3,00,000"
257,Audi,A4,2009,2nd,Automatic,1.8 TFSI Multitronic Premium Plus,12000.0 km,Petrol,"₹ 8,99,999"
258,Toyota,Innova Crysta,2017,1st,Manual,2.4 VX MT,52000.0 km,Diesel,"₹ 17,25,000"
259,Jeep,Compass,2018,1st,Manual,2.0 Limited,54000.0 km,Diesel,"₹ 15,25,000"
260,Hyundai,i10,2010,1st,Manual,1.2 Kappa Magna,75000.0 km,Petrol,"₹ 2,30,000"
261,Honda,Brio,2013,1st,Manual,1.2 S MT,50000.0 km,Petrol,"₹ 3,55,000"
262,Honda,WR-V,2018,1st,Manual,i-VTEC S,15000.0 km,Petrol,"₹ 6,99,000"
263,Maruti Suzuki,Swift,2012,2nd,Manual,VXI,40000.0 km,Petrol,"₹ 3,40,000"
264,Volkswagen,Vento,2012,1st,Manual,1.6 Highline,66000.0 km,Diesel,"₹ 3,50,000"
265,Skoda,Laura,2011,2nd,Automatic,Laura 2.0 TDI AT L and K,90000.0 km,Diesel,"₹ 3,70,000"
266,Toyota,Corolla Altis,2012,1st,Manual,2010-2013 Diesel D4DG,67000.0 km,Diesel,"₹ 5,25,000"
267,Maruti Suzuki,Alto,2008,3rd,Manual,LXi,"135,000 km",Petrol,"₹ 1,38,000"
268,Chevrolet,Optra,2007,1st,Manual,1.8 LT,70000.0 km,Petrol,"₹ 95,000"
269,Mahindra,TUV 300 Plus,2016,1st,Manual,P8,105000.0 km,Diesel,"₹ 5,50,000"
270,Toyota,Innova,2013,2nd,Manual,2.5 G (Diesel) 7 Seater,140000.0 km,Diesel,"₹ 6,00,000"
271,Ford,Figo,2012,1st,Manual,2010-2012 Diesel EXI,70000.0 km,Diesel,"₹ 2,20,000"
272,Mahindra,XUV300,2019,1st,Manual,W8 Option Diesel,40000.0 km,Diesel,"₹ 10,90,000"
273,Honda,Jazz,2016,2nd,Manual,V,25000.0 km,Petrol,"₹ 5,79,999"
274,Hyundai,Verna,2013,1st,Manual,2011-2014 1.6 SX VTVT,42000.0 km,Petrol,"₹ 4,29,000"
275,Honda,Jazz,2016,1st,Manual,1.2 S i VTEC,56000.0 km,Petrol,"₹ 4,65,000"
276,Hyundai,Grand i10,2013,1st,Manual,Magna 1.2 Kappa VTVT,52000.0 km,Petrol,"₹ 3,40,000"
277,Maruti Suzuki,Swift,2008,3rd,Manual,LXI,85000.0 km,Petrol,"₹ 2,20,000"
278,Honda,Jazz,2017,1st,Manual,S Manual,27000.0 km,Petrol,"₹ 5,80,000"
279,Volkswagen,Jetta,2011,2nd, ,1.9 Highline TDI,129000.0 km, ,"₹ 3,25,000"
280,Hyundai,Creta,2016,1st,Manual,1.6 SX,55000.0 km,Diesel,"₹ 8,60,000"
281,Honda,City,2018,1st,Manual,i-DTEC ZX,46000.0 km,Diesel,"₹ 11,85,000"
282,Hyundai,i10,2013,1st,Manual,1.2 Kappa Magna,58000.0 km,Petrol,"₹ 3,25,000"
283,Ford,Fiesta Classic,2011,2nd,Manual,1.4 Duratorq LXI,"90,000 km",Diesel,"₹ 2,80,000"
284,Hyundai,i10,2008,1st,Manual,Era,76000.0 km,Petrol,"₹ 1,65,000"
285,Audi,A4,2013,2nd,Automatic,2.0 TDI,95000.0 km,Diesel,"₹ 9,50,000"
286,Maruti Suzuki,Alto K10,2010,, ,LXI,36000.0 km, ,"₹ 1,65,000"
287,Honda,City,2010,2nd,Manual,2008-2011 1.5 E MT,75000.0 km,Petrol,"₹ 2,65,000"
288,Honda,City,2014,1st,Automatic,2014-2015 i VTEC CVT VX,62000.0 km,Petrol,"₹ 5,95,000"
289,Toyota,Innova,2009,1st,Manual,2009-2011 2.5 GX 7 STR,110000.0 km,Diesel,"₹ 3,99,000"
290,Renault,Lodgy,2015,1st,Manual,Stepway 85PS RXZ 8S,89000.0 km,Diesel,"₹ 5,35,000"
291,Nissan,Sunny,2011,2nd,Manual,2014-2016 XL CVT,46500.0 km,Petrol,"₹ 2,40,000"
292,Audi,A4,2013,2nd,Automatic,"2.0 TDI (177bhp), Premium",36000.0 km,Diesel,"₹ 11,50,000"
293,Maruti Suzuki,Swift,2013,1st,Manual,VDI BS IV,95000.0 km,Diesel,"₹ 2,40,000"
294,Ford,Endeavour,2017,1st,Automatic,Titanium Plus 4X4,40000.0 km,Diesel,"₹ 31,20,000"
295,Maruti Suzuki,Celerio,2014,1st,Automatic,2014-2017 VXI AT Optional,55000.0 km,Petrol,"₹ 3,95,000"
296,Maruti Suzuki,Swift,2014,1st,Manual,DDiS VDI,68523.0 km,Diesel,"₹ 3,85,000"
297,Volkswagen,Polo,2013,1st,Manual,1.2 MPI Comfortline,58774.0 km,Petrol,"₹ 4,75,000"
298,Hyundai,Creta,2020,1st,Manual,1.4 S,12000.0 km,Petrol,"₹ 13,11,000"
299,Mahindra,Xylo,2011,1st,Manual,E8 BS-III,90000.0 km,Diesel,"₹ 4,99,000"
300,Hyundai,i20,2012,2nd,Manual,1.2 Magna Executive,50000.0 km,Petrol,"₹ 4,25,000"
301,Ford,Ecosport,2016,1st,Manual,1.5 TDCi Titanium Plus,66000.0 km,Diesel,"₹ 5,70,000"
302,Maruti Suzuki,Grand Vitara,2004,1st,Manual,2003-2007 XL 7 AT,63000.0 km,Petrol,"₹ 2,85,000"
303,Maruti Suzuki,Swift Dzire,2013,2nd,Manual,Vdi BSIV,60000.0 km,Diesel,"₹ 4,80,000"
304,Maruti Suzuki,Swift,2014,2nd,Manual,2011-2014 VXI,56000.0 km,Petrol,"₹ 4,25,000"
305,Hyundai,i20,2013,2nd,Manual,2012-2014 Sportz 1.4 CRDi,62000.0 km,Diesel,"₹ 3,50,000"
306,Mercedes-Benz,S-Class,2013,1st,Automatic,S 350 CDI,74000.0 km,Diesel,"₹ 25,00,000"
307,Maruti Suzuki,Ertiga,2015,1st,Manual,ZDI,85000.0 km,Diesel,"₹ 5,70,000"
308,Renault,Duster,2016,1st,Automatic,110PS Diesel RxS AMT,47000.0 km,Diesel,"₹ 6,25,000"
309,Maruti Suzuki,Eeco,2010,2nd,Manual,7 Seater Standard,78000.0 km,Petrol,"₹ 2,45,000"
310,Volkswagen,Jetta,2012,2nd, ,2.0 TDI Comfortline,91000.0 km,Diesel,"₹ 4,25,000"
311,Hyundai,Creta,2015,3rd,Automatic,1.6 CRDi AT SX Plus,77000.0 km,Diesel,"₹ 7,90,000"
312,Maruti Suzuki,Ertiga,2016,1st,Manual,SHVS ZDI,63000.0 km,Diesel,"₹ 6,00,000"
313,Hyundai,Elite i20,2014,1st,Manual,Magna 1.2,65000.0 km,Diesel,"₹ 4,49,000"
314,Maruti Suzuki,Swift,2013,1st,Manual,VXI,58000.0 km,Petrol,"₹ 3,50,000"
315,Maruti Suzuki,Baleno,2018,1st,Manual,1.3 Zeta,60000.0 km,Diesel,"₹ 6,25,000"
316,Maruti Suzuki,Swift Dzire,2008,1st,Manual,VXI,64000.0 km,Petrol,"₹ 1,80,000"
317,Renault,Duster,2013,1st,Manual,2012-2015 85PS Diesel RxL Plus,80000.0 km,Diesel,"₹ 3,50,000"
318,Toyota,Etios Liva,2015,1st,Manual,Etios Liva G SP*,58000.0 km,Petrol,"₹ 3,50,000"
319,Mahindra,Bolero Pik-Up,2004,2nd,Manual,Others,"85,000 km",Diesel,"₹ 2,95,000"
320,Maruti Suzuki,Alto K10,2015,1st,Automatic,VXI,59000.0 km,Petrol,"₹ 2,75,000"
321,Hyundai,Grand i10,2014,2nd,Manual,1.2 Kappa Magna,45000.0 km,Petrol,"₹ 3,39,000"
322,Hyundai,i20,2015,1st,Manual,1.2 Spotz,72419.0 km,Petrol,"₹ 5,60,000"
323,Hyundai,Elite i20,2016,2nd,Manual,Magna 1.2,58000.0 km,Petrol,"₹ 5,50,000"
324,Mahindra,XUV500,2015,1st,Manual,W10 2WD,94000.0 km,Diesel,"₹ 10,25,000"
325,Maruti Suzuki,Swift,2010,2nd,Manual,VDI,70000.0 km,Diesel,"₹ 2,45,000"
326,Chevrolet,Spark,2014,1st,Manual,1.0 LT,48000.0 km,Petrol,"₹ 1,85,000"
327,Toyota,Land Cruiser,2017,1st,Automatic,VX Premium,88000.0 km,Diesel,"₹ 1,29,00,000"
328,Honda,City,2015,1st,Manual,i-DTEC V,40000.0 km,Diesel,"₹ 6,96,666"
329,Hyundai,Creta,2015,2nd,Manual,1.6 SX,66000.0 km,Diesel,"₹ 8,10,000"
330,BMW,3 Series,2015,1st,Automatic,320d Luxury Line,31000.0 km,Diesel,"₹ 19,50,000"
331,Maruti Suzuki,Ciaz,2017,1st,Manual,1.3 Sigma,98000.0 km,Diesel,"₹ 7,00,000"
332,Maruti Suzuki,Celerio,2017,1st,Manual,VXI MT,4600.0 km,Petrol,"₹ 3,80,000"
333,Maruti Suzuki,Wagon R,2011,2nd,Manual,LXI BS IV,87000.0 km,Petrol,"₹ 2,35,000"
334,Maruti Suzuki,Swift Dzire,2014,1st,Manual,VDI,87400.0 km,Diesel,"₹ 4,25,000"
335,Maruti Suzuki,Ertiga,2016,1st,Manual,VXI CNG,65800.0 km,Petrol,"₹ 5,75,000"
336,Chevrolet,Enjoy,2015,1st,Manual,1.3 TCDi LT 7,87000.0 km,Diesel,"₹ 3,99,000"
337,Toyota,Fortuner,2012,1st,Automatic,3.0 4x2 Automatic,91000.0 km,Diesel,"₹ 12,25,000"
338,Tata,Others,2016,2nd,Manual,Others,17000.0 km,Diesel,"₹ 2,65,000"
339,Maruti Suzuki,Swift Dzire,2019,1st,Manual,LDI,47651.0 km,Diesel,"₹ 5,55,000"
340,Maruti Suzuki,Swift Dzire,2019,,Manual,ZXI,24017.0 km,Petrol,"₹ 6,95,000"
341,Maruti Suzuki,Swift Dzire Tour,2018,1st, ,LDI,56000.0 km,Diesel,"₹ 5,60,000"
342, , , ,, ,, , , 
343,Other Brands,Others,2021,1st,Manual,Others,0 km,Electric,"₹ 50,000"
344,Chevrolet,Enjoy,2013,2nd,Manual,1.3 TCDi LTZ 8,"288,000 km",Diesel,"₹ 2,80,000"
345,Maruti Suzuki,Alto,2008,2nd,Manual,Others,"58,000 km",Petrol,"₹ 1,57,000"
346,Maruti Suzuki,Alto,2008,3rd,Automatic,LXi,"60,524 km",Petrol,"₹ 1,10,000"
347,Maruti Suzuki,Swift,2014,1st,Manual,2011-2014 VDI,"104,500 km",Diesel,"₹ 3,60,000"
348,Toyota,Glanza,2019,1st,Manual,V,32000.0 km,Petrol,"₹ 8,00,000"
349,Mahindra,Xylo,2010,2nd,Automatic,2009-2011 E4,"128,000 km",Diesel,"₹ 1,49,000"
350,Maruti Suzuki,Swift,2015,2nd,Manual,VDI BS IV,"131,000 km",Diesel,"₹ 5,20,000"
351,Hyundai,i10,2008,2nd, ,Magna,55000.0 km, ,"₹ 1,80,000"
352,BMW,5 Series,2012,1st,Automatic,520d Luxury Line,"78,000 km",Diesel,"₹ 13,90,000"
353,BMW,i8,2017,2nd,Automatic,Hybrid,7000.0 km,Petrol,"₹ 89,00,000"
354,Kia,Seltos,2019,1st,Automatic,HTK Plus AT D,50000.0 km,Diesel,"₹ 14,50,000"
355,Mahindra,Bolero Pik-Up,2017,1st, ,,75000.0 km, ,"₹ 6,80,000"
356,Mahindra,Bolero,2019,1st,Manual,ZLX BSIII,42000.0 km,Diesel,"₹ 7,80,000"
357,Mercedes-Benz,E-Class,2010,1st,Automatic,E250 CDI Blue-Efficiency,99000.0 km,Diesel,"₹ 9,95,000"
358,Maruti Suzuki,Ertiga,2012,1st,Manual,VDI,67000.0 km,Diesel,"₹ 4,50,000"
359,Isuzu,D-Max V-Cross,2017,1st,Manual,4X4,48000.0 km,Diesel,"₹ 13,50,000"
360,Mercedes-Benz,E-Class,2018,1st,Automatic,E 220 d,21000.0 km,Diesel,"₹ 48,75,000"
361,Datsun,Redi Go,2019,1st,Manual,Others,27411.0 km,Petrol,"₹ 3,60,000"
362,Hyundai,i10,2011,1st,Manual,Sportz,83000.0 km,Petrol,"₹ 2,65,000"
363,Skoda,Laura,2010,2nd,Manual,Ambiente,"80,000 km",Petrol,"₹ 4,65,000"
364,Honda,City,2014,2nd,Manual,2014-2015 i DTEC SV,134000.0 km,Diesel,"₹ 5,51,000"
365,Maruti Suzuki,Swift,2018,1st,Manual,2018 VXI,27000.0 km,Petrol,"₹ 6,00,000"
366,Mahindra,XUV500,2018,1st,Manual,W11,38000.0 km,Diesel,"₹ 14,50,000"
367,Maruti Suzuki,Swift Dzire,2019,1st,Manual,LDI,36000.0 km,Diesel,"₹ 5,40,000"
368,Datsun,RediGO,2018,1st,Manual,T Option,17000.0 km,Petrol,"₹ 2,50,000"
369,Bentley,Continental GTC,2015,3rd,Automatic,GTC Convertible,8500.0 km,Petrol,"₹ 2,00,00,000"
370,Bentley,Mulsanne,2017,1st,Automatic,Others,13000.0 km,Petrol,"₹ 7,00,00,000"
371,Maruti Suzuki,Swift Dzire,2013,1st,Manual,LDI,73000.0 km,Diesel,"₹ 3,30,000"
372,Mitsubishi,Outlander,2009,2nd,Automatic,2.4 CVT,61000.0 km,Petrol,"₹ 3,90,000"
373,Maruti Suzuki,SX4,2009,2nd,Manual,Vxi BSIV,83000.0 km,Petrol,"₹ 1,95,000"
374,Toyota,Land Cruiser,2019,1st,Automatic,VX Premium,24000.0 km,Diesel,"₹ 1,65,00,000"
375,Ford,Ecosport,2016,1st,Manual,1.5 Diesel Titanium Plus,55000.0 km,Diesel,"₹ 6,50,000"
376,Mercedes-Benz,E-Class,2014,1st,Automatic,E 250 Elegance,87000.0 km,Diesel,"₹ 11,99,000"
377,Mahindra,XUV500,2013,1st,Manual,2011-2015 W8-2WD,87000.0 km,Diesel,"₹ 5,49,000"
378,Toyota,Innova,2010,1st,Manual,2.5 EV (Diesel) PS 7 Seater BS IV,"450,000 km",Diesel,"₹ 5,75,000"
379,Hyundai,Grand i10,2016,1st,Manual,1.2 CRDi Sportz,50000.0 km,Diesel,"₹ 4,50,000"
380,Nissan,Terrano,2014,1st,Manual,XL P,18500.0 km,Petrol,"₹ 4,85,000"
381,Hyundai,i10,2010,,Manual,2007-2010 Magna 1.2,63000.0 km,Petrol,"₹ 2,95,000"
382,Skoda,Rapid,2016,2nd,Manual,2013-2016 1.5 TDI Ambition,62000.0 km,Diesel,"₹ 6,50,000"
383,Ford,Figo,2011,1st,Manual,Duratorq ZXI 1.4,106000.0 km,Diesel,"₹ 1,88,000"
384,Tata,Tigor,2018,1st,Automatic,XZA Plus,19000.0 km,Petrol,"₹ 6,45,000"
385,Renault,KWID,2018,1st,Manual,RXL,"5,600 km",Petrol,"₹ 3,10,000"
386,Maruti Suzuki,Others,2021,1st,Manual,Others,"2,000 km",Petrol,"₹ 2,00,000"
387,Nissan,Others,2021,1st,Manual,Others,"4,500 km",Petrol,"₹ 7,40,000"
388,Honda,City,2011,2nd,Manual,2011-2013 V MT,55000.0 km,CNG & Hybrids,"₹ 4,50,000"
389,BMW,X1,2016,2nd,Automatic,sDrive 20d xLine,28000.0 km,Diesel,"₹ 17,99,000"
390,Bentley,Bentayga,2016,1st,Automatic,6.0 W12,27000.0 km,Petrol,"₹ 3,10,00,000"
391,Maruti Suzuki,Swift Dzire,2018,1st,Manual,LDI,56999.0 km,Diesel,"₹ 4,50,000"
392,Skoda,Octavia,2008,2nd,Manual,2000-2010 Rider 1.9 TDI MT,0 km,Diesel,"₹ 1,97,500"
393,Tata,Nano,2010,2nd,Manual,2009-2011 Cx,"38,000 km",Petrol,"₹ 60,000"
394,BMW,X1,2012,2nd,Automatic,xDrive 20d xLine,80000.0 km,Diesel,"₹ 11,50,000"
395,Maruti Suzuki,Ritz,2011,2nd,Manual,VDI (ABS) BS-IV,72000.0 km,Diesel,"₹ 3,00,000"
396,Maruti Suzuki,Celerio,2019,1st,Manual,VXI Optional MT,"68,163 km",Petrol,"₹ 3,60,000"
397,Maruti Suzuki,Swift,2011,1st,Manual,2011-2014 Star VDI,"140,000 km",Diesel,"₹ 2,35,000"
398,Ford,Ecosport,2013,1st,Manual,2013-2015 1.5 DV5 MT Ambiente,"80,000 km",Diesel,"₹ 3,70,000"
399,Maruti Suzuki,Wagon R,2003,1st,Manual,1999-2006 LXI BSIII,"130,000 km",Petrol,"₹ 80,000"
400,Maruti Suzuki,Wagon R,2013,,Manual,LXI CNG Avance Edition,76985.0 km,Petrol,"₹ 2,65,000"
401,Renault,KWID,2017,1st,Manual,RXL,38101.0 km,Petrol,"₹ 2,15,000"
402,Maruti Suzuki,Swift Dzire,2013,2nd,Manual,ZXI 1.2,57300.0 km,Petrol,"₹ 3,75,000"
403,Renault,Duster,2017,1st,Manual,Petrol RxL,"17,500 km",Petrol,"₹ 6,00,000"
404,Maruti Suzuki,Ertiga,2013,2nd,Manual,2012-2015 VDI,105000.0 km,Diesel,"₹ 5,40,000"
405,Maruti Suzuki,Wagon R,2018,2nd,Manual,VXI BS IV,"39,000 km",Petrol,"₹ 4,10,000"
406,Toyota,Innova,2013,2nd,Manual,2.5 G (Diesel) 7 Seater,140000.0 km,Diesel,"₹ 6,00,000"
407,Maruti Suzuki,Alto,2002,2nd,Manual,,110000.0 km,Petrol,"₹ 1,20,000"
408,Maruti Suzuki,Ciaz,2018,1st,Automatic,Smart Hybrid Alpha,33000.0 km,Petrol,"₹ 9,10,000"
409,Toyota,Innova,2006,2nd,Manual,2004-2011 2.0 V,152000.0 km,Diesel,"₹ 4,75,000"
410,Honda,City,2015,4th,Automatic,2015-2017 i VTEC CVT VX,"49,000 km",Petrol,"₹ 7,15,000"
411,Tata,Nano,2015,1st,Manual,XT,"42,000 km",Petrol,"₹ 1,65,000"
412,Maruti Suzuki,S-Presso,2021,1st,Manual,LXI Opt,1500.0 km,Petrol,"₹ 4,60,000"
413,Toyota,Innova,2011,2nd,Manual,2.5 G (Diesel) 7 Seater,93000.0 km,Diesel,"₹ 3,75,000"
414,Maruti Suzuki,Ertiga,2017,1st,Manual,2012-2015 VXI CNG,62000.0 km,CNG & Hybrids,"₹ 7,75,000"
415,Honda,Amaze,2014,1st,Manual,2013-2016 SX i-DTEC,"60,000 km",Diesel,"₹ 3,75,000"
416,Toyota,Etios Liva,2015,1st,Manual,Etios Liva G SP*,58000.0 km,Petrol,"₹ 3,50,000"
417,Volkswagen,Jetta,2012,1st,Manual,2.0L TDI Highline,85000.0 km,Diesel,"₹ 7,60,000"
418,Bentley,Mulsanne,2011,1st,Automatic,6.8,52000.0 km,Petrol,"₹ 1,55,00,000"
419,Porsche,Macan,2015,2nd,Automatic,Turbo,35000.0 km,Petrol,"₹ 60,00,000"
420,Maruti Suzuki,Wagon R Duo,2010,1st,Manual,,104000.0 km,LPG,"₹ 2,10,000"
421,Mercedes-Benz,New C-Class,2010,2nd,Automatic,C 200 CGI Elegance,67000.0 km,Petrol,"₹ 6,75,000"
422,Maruti Suzuki,Ertiga,2019,1st,Manual,ZDI,3000.0 km,Diesel,"₹ 11,50,000"
423,Mahindra,Thar,2016,1st,Manual,DI 4X4,40000.0 km,Diesel,"₹ 7,50,000"
424,Maruti Suzuki,Baleno,2018,1st,Automatic,1.2 CVT Delta,16000.0 km,Petrol,"₹ 7,39,000"
425,Hyundai,Accent,2014,1st,Manual,GLS,60000.0 km,Petrol,"₹ 4,50,000"
426,Mahindra,XUV500,2015,1st,Manual,W10 2WD,89000.0 km,Diesel,"₹ 10,00,000"
427,Mahindra,XUV500,2018,1st,Manual,W11,38000.0 km,Diesel,"₹ 14,50,000"
428,Mahindra,TUV 300 Plus,2016,1st,Manual,P8,105000.0 km,Diesel,"₹ 5,50,000"
429,Mahindra,XUV300,2019,1st,Manual,W8 Option Diesel,40000.0 km,Diesel,"₹ 10,90,000"
430,Mahindra,XUV500,2015,1st,Manual,W10 2WD,94000.0 km,Diesel,"₹ 10,25,000"
431,Hyundai,i10,2013,2nd,Manual,1.2 Kappa Magna,65000.0 km,Petrol,"₹ 3,49,999"
432,Maruti Suzuki,Swift,2010,2nd,Manual,VDI,70000.0 km,Diesel,"₹ 2,45,000"
433,Mahindra,Scorpio,2015,1st,Manual,S10,85800.0 km,Diesel,"₹ 10,10,000"
434,Ford,Figo,2012,1st,Manual,2010-2012 Diesel EXI,70000.0 km,Diesel,"₹ 2,20,000"
435,Renault,Duster,2013,2nd, ,2012-2015 85PS Diesel RxL,85000.0 km,Diesel,"₹ 2,99,000"
436,Ferrari,488 GTB,2017,3rd,Automatic,GTB,3000.0 km,Petrol,"₹ 2,95,00,000"
437,Nissan,Terrano,2014,1st,Manual,XL (D),62000.0 km,Diesel,"₹ 4,50,000"
438,Kia,Seltos,2019,1st,Manual,HTX Plus D,11000.0 km,Diesel,"₹ 14,25,000"
439,Audi,A6,2013,2nd,Automatic,2.0 TDI Premium Plus,56000.0 km,Diesel,"₹ 12,99,000"
440,Ford,Ecosport,2018,1st,Manual,1.5 Diesel Titanium,45000.0 km,Diesel,"₹ 10,51,000"
441,Mahindra,Bolero,2016,1st,Manual,ZLX,50000.0 km,Diesel,"₹ 6,75,000"
442,Hyundai,Creta,2018,1st,Manual,1.6 CRDi SX Plus,54000.0 km,Diesel,"₹ 12,20,000"
443,Bentley,Flying Spur,2019,1st,Automatic,V8,4000.0 km,Petrol,"₹ 3,00,00,000"
444,Maruti Suzuki,Swift,2019,1st,Manual,VDI BS IV,45000.0 km,Diesel,"₹ 7,10,000"
445,Maruti Suzuki,Wagon R 1.0,2013,1st,Manual,1.0 VXi,57000.0 km,Petrol,"₹ 2,85,000"
446,Maruti Suzuki,800,2007,2nd,Manual,,55000.0 km,CNG & Hybrids,"₹ 1,00,000"
447,Hyundai,Creta,2016,1st,Automatic,1.6 CRDi AT S Plus,75000.0 km,Diesel,"₹ 9,60,000"
448,Maruti Suzuki,Ciaz,2019,1st,Automatic,1.4 AT Zeta,29000.0 km,Petrol,"₹ 9,50,000"
449,Mahindra,Xylo,2011,1st,Manual,E8 BS-III,90000.0 km,Diesel,"₹ 4,99,000"
450,Maruti Suzuki,Swift Dzire,2013,2nd,Manual,Vdi BSIV,60000.0 km,Diesel,"₹ 4,80,000"
451,Maruti Suzuki,Swift,2014,2nd,Manual,2011-2014 VXI,56000.0 km,Petrol,"₹ 4,25,000"
452,Hyundai,i20,2013,2nd,Manual,2012-2014 Sportz 1.4 CRDi,62000.0 km,Diesel,"₹ 3,50,000"
453,Ford,Ecosport,2019,1st,Manual,1.5 Petrol Titanium,11070.0 km,Petrol,"₹ 9,55,000"
454,Toyota,Yaris,2018,1st,Manual,V Optional,15000.0 km,Petrol,"₹ 11,99,999"
455,Maruti Suzuki,Vitara Brezza,2017,1st,Manual,ZDi Plus,92568.0 km,Diesel,"₹ 8,44,999"
456,Ford,Figo,2011,1st,Manual,2010-2012 Petrol ZXI,39000.0 km,Petrol,"₹ 2,45,000"
457,Hyundai,Elite i20,2019,1st,Manual,Sportz (O) 1.2,20122.0 km,Petrol,"₹ 6,80,000"
458,Maruti Suzuki,Ertiga,2018,1st,Automatic,SHVS VDI Limited Edition,60000.0 km,Diesel,"₹ 9,25,000"
459,Mahindra,Scorpio,2014,1st,Manual,2009-2014 VLX 2WD AIRBAG BSIV,99000.0 km,Diesel,"₹ 7,90,000"
460,Nissan,Sunny,2012,2nd,Manual,XV,80000.0 km,Diesel,"₹ 4,00,000"
461,Maruti Suzuki,A-Star,2012,,Manual,Vxi,50856.0 km,Petrol,"₹ 2,65,000"
462,Maruti Suzuki,Ertiga,2012,2nd,Manual,2012-2015 VDI Limited Edition,80000.0 km,Diesel,"₹ 5,25,000"
463,Mercedes-Benz,CLA,2017,2nd,Automatic,200 CDI Sport,25000.0 km,Diesel,"₹ 24,00,000"
464,Maruti Suzuki,Baleno,2018,1st,Automatic,Delta Automatic,35000.0 km,Petrol,"₹ 5,95,000"
465,Mahindra,Scorpio,2011,1st,Manual,2009-2014 M2DI,105000.0 km,Diesel,"₹ 3,75,000"
466,Volkswagen,Passat,2010,3rd,Manual,2007-2010 1.8 TSI MT,68000.0 km,Petrol,"₹ 4,75,000"
467,Tata,Safari,2008,2nd,Manual,DICOR 2.2 LX 4x2 BS IV,136000.0 km,Diesel,"₹ 3,43,000"
468,Mercedes-Benz,GLA Class,2014,2nd,Automatic,200 d Sport,73000.0 km,Diesel,"₹ 14,50,000"
469,Rolls-Royce,Wraith,2015,1st,Automatic,Coupe,1800.0 km,Petrol,"₹ 4,50,00,000"
470,Mercedes-Benz,S-Class,2013,1st,Automatic,S 350 CDI,74000.0 km,Diesel,"₹ 25,00,000"
471,Maruti Suzuki,Ertiga,2015,1st,Manual,ZDI,85000.0 km,Diesel,"₹ 5,70,000"
472,Hyundai,Creta,2015,3rd,Automatic,1.6 CRDi AT SX Plus,77000.0 km,Diesel,"₹ 7,90,000"
473,Mahindra,Bolero Pik-Up,2004,2nd,Manual,Others,"85,000 km",Diesel,"₹ 2,95,000"
474,Tata,Nano,2014,1st,Manual,2012-2015 LX,46000.0 km,Petrol,"₹ 1,39,999"
475,Mahindra,Bolero Power Plus,2011,2nd,Manual,SLX,65000.0 km,Diesel,"₹ 4,60,000"
476,Toyota,Fortuner,2012,1st,Automatic,3.0 4x2 Automatic,91000.0 km,Diesel,"₹ 12,25,000"
477,Mahindra,XUV500,2015,2nd,Manual,W10 2WD,70000.0 km,Diesel,"₹ 9,00,000"
478,BMW,M6,2006,1st,Automatic,,55000.0 km,Petrol,"₹ 35,00,000"
479,BMW,3 Series GT,2014,2nd,Automatic,3 Series GT 320d GT Luxury Line,77000.0 km,Diesel,"₹ 18,49,500"
